study,name,label,label_de,description,description_de,analysis_unit,period,value,mode,type_position,type,type_de
scp,w1_1,Questionnaire 2021_1,Fragebogen 2021_1,"This questionnaire contains all questions from the first part of wave 1 (W1T1) of the German Social Cohesion Panel (SCP), which is also the recruitment survey for the panel. The survey took place from September 8th, 2021 to April 5th, 2022 and targeted so-called anchor persons (AP) that were initially randomly selected from population registers, as well as all other household members (HM) over the age of 18 named by the anchor persons. The questionnaire consists of two sections: a personal questionnaire and a household questionnaire. Personal questions were generally given to all respondents, while household questions were only asked to the anchor persons. The survey was conducted as a mixed-mode survey (PAPI and CAWI). In addition to the German questionnaire, respondents in the CAWI mode also had an English-language questionnaire available. Further question-specific differences in the questionnaire presentation between the two modes are listed in this document under the respective question.","Dieser Fragebogen enthält alle Fragen des ersten Teils von Welle 1 (W1T1) des German Social Cohesion Panel (SCP), der zugleich die Rekrutierungsbefragung für das Panel darstellt. Die Befragung fand vom 08.09.2021 bis 05.04.2022 statt und richtete sich an initial zufällig aus Einwohnermelderegistern gezogene sogenannte Ankerpersonen (AP) sowie an alle von den Ankerpersonen genannten weiteren Haushaltsmitglieder (HM) über 18 Jahren.  Der Fragebogen besteht aus zwei Abschnitten: einem Personenfragebogen und einem Haushaltsfragebogen. Fragen zur Person erhielten grundsätzlich alle Befragten, während Fragen zum Haushalt nur den Ankerpersonen gestellt wurden.  Die Umfrage wurde als Mixed-Mode-Befragung (PAPI und CAWI) durchgeführt. Befragten im CAWI-Modus stand neben dem deutschen auch ein englischsprachiger Fragebogen bereit. Weitere, fragespezifische Abweichungen in der Fragebogendarstellung zwischen beiden Modi werden in diesem Dokument unter der jeweiligen Frage aufgeführt.",p,2021/22 W1_1,,,1,Individual,Person
scp,w2,Questionnaire Wave 2,Fragebogen Welle 2,"This questionnaire contains all questions from wave 2 (W2) of the German Social Cohesion Panel (SCP). The survey took place from September 5, 2022, to January 5, 2023. It targeted so-called anchor persons (AP), who were initially randomly drawn from population registers, their additional household members (HM) over the age of 18 they had previously named, as well as new household members (NHM) over the age of 18 named by the anchor persons in this wave.

The questionnaire consists of several sections. All respondents received an individual questionnaire. For NHM, this included some additional questions on biographical and unchanging sociodemographic characteristics due to their recruitment to the panel. Anchor persons additionally received a household questionnaire.

The survey was conducted as a mixed-mode survey (PAPI and CAWI). In addition to the German questionnaire, respondents in the CAWI mode also had an English-language questionnaire available. Question-specific differences in the questionnaire presentation between the two modes are listed in this document under the respective question.","Dieser Fragebogen enthält alle Fragen von Welle 2 (W2) des German Social Cohesion Panel (SCP). Die Befragung fand vom 05.09.2022 bis 05.01.2023 statt und richtete sich an ursprünglich zufällig aus Einwohnermelderegistern gezogene sogenannte Ankerpersonen (AP) und die von ihnen zuvor genannten weiteren Haushaltsmitglieder (HM) über 18 Jahren sowie die von den Ankerpersonen in dieser Welle genannten neuen Haushaltsmitglieder (NHM) über 18 Jahren.

Der Fragebogen besteht aus mehreren Abschnitten. Alle Befragten erhielten einen Personenfragebogen. Dieser enthält für NHM aufgrund deren Rekrutierung ins Panel einige zusätzliche Fragen zu biographischen und unveränderlichen soziodemographischen Merkmalen. Ankerpersonen erhielten zusätzlich einen Haushaltsfragebogen.

Die Umfrage wurde als Mixed-Mode-Befragung (PAPI und CAWI) durchgeführt. Befragten im CAWI-Modus stand neben dem deutschen auch ein englischsprachiger Fragebogen zur Verfügung. Fragespezifische Abweichungen in der Fragebogendarstellung zwischen beiden Modi werden in diesem Dokument unter der jeweiligen Frage aufgeführt.",p,2022 W2,,,1,Individual,Person
scp,w1_2,Questionnaire 2021_2,Fragebogen 2021_2,"This questionnaire contains all questions from the second part of wave 1 (W1T2) of the German Social Cohesion Panel (SCP). The survey took place from December 15th, 2021 to July 11th, 2022 and targeted so-called anchor persons (AP) that were initially randomly selected from population registers, as well as all other household members (HM) over the age of 18 named by the anchor persons. The questionnaire consists of two sections: a personal questionnaire and a household questionnaire. Personal questions were generally given to all respondents, while household questions were only asked to the anchor persons. The survey was conducted as a mixed-mode survey (PAPI and CAWI). In addition to the German questionnaire, respondents in the CAWI mode also had an English-language questionnaire available. Further question-specific differences in the questionnaire presentation between the two modes are listed in this document under the respective question.","Dieser Fragebogen enthält alle Fragen des zweiten Teils von Welle 1 (W1T2) des German Social Cohesion Panel (SCP). Die Befragung fand vom 15.12.2021 bis 11.07.2022 statt und richtete sich an initial zufällig aus Einwohnermelderegistern gezogene sogenannte Ankerpersonen (AP) sowie an alle von den Ankerpersonen genannten weiteren Haushaltsmitglieder (HM) über 18 Jahren.  Der Fragebogen besteht aus zwei Abschnitten: einem Personenfragebogen und einem Haushaltsfragebogen. Fragen zur Person erhielten grundsätzlich alle Befragten, während Fragen zum Haushalt nur den Ankerpersonen gestellt wurden.  Die Umfrage wurde als Mixed-Mode-Befragung (PAPI und CAWI) durchgeführt. Befragten im CAWI-Modus stand neben dem deutschen auch ein englischsprachiger Fragebogen bereit. Weitere, fragespezifische Abweichungen in der Fragebogendarstellung zwischen beiden Modi werden in diesem Dokument unter der jeweiligen Frage aufgeführt.",p,2021/22 W1_2,,,1,Individual,Person
