study,dataset,variable,url,url_de
scp,p,pbirthyear,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/pbirthyear.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/pbirthyear_de.png
scp,p,pcohabgebyear,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/pcohabgebyear.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/pcohabgebyear_de.png
scp,h,hpbyear01,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear01.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear01_de.png
scp,h,hpbyear02,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear02.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear02_de.png
scp,h,hpbyear03,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear03.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear03_de.png
scp,h,hpbyear04,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear04.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear04_de.png
scp,h,hpbyear05,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear05.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear05_de.png
scp,h,hpbyear06,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear06.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear06_de.png
scp,h,hpbyear07,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear07.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear07_de.png
scp,h,hpbyear08,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear08.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear08_de.png
scp,h,hpbyear09,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear09.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear09_de.png
scp,h,hpbyear10,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear10.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear10_de.png
scp,h,hpbyear11,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear11.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear11_de.png
scp,h,hpbyear12,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear12.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/hpbyear12_de.png
scp,ppath,gebjahr_scp,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/gebjahr_scp.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/77b92a4fb0533108596c6a6938036230af75e7e7/paneldata_org/Graphs/W2/gebjahr_scp_de.png
scp,ppath,immiyear,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/immiyear.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/immiyear_de.png
scp,pbrutto,geburt_reg,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/geburt_reg.png,https://git.soep.de/soep-public/soep-fgz-public/-/raw/187f631ef2ce745ad146cc1389e4a6ba58a61848/paneldata_org/Graphs/W2/geburt_reg_de.png
